OrgID,CNT_AlumRelationships,CNT_Relationships,CNT_Designations,LifetimeDonation,DonorLast3Yrs,GivingVelocity,TimeVelocity,RFM_ORG,GivesToUniversities,ArtsCultureandHumanities,Education,EnvironmentandAnimals,Health,Philanthropy,PublicandSocietalBenefit,Religion
1,0,0,1,600,0,1,,6,0,0,0,0,0,0,0,0
2,0,1,2,47500,1,1,,9,1,0,0,0,0,0,0,0
3,2,4,1,15000,1,1,,8,1,0,0,0,0,0,0,0
4,0,1,1,1372.46,0,1,,7,0,0,0,0,1,0,0,0
5,0,3,1,100000,1,1,,9,1,0,0,0,0,0,0,0
6,0,0,1,41.9,0,1,,6,0,0,0,0,0,0,0,0
7,11,24,3,84450,1,1,,11,0,0,0,0,0,0,1,0
8,0,1,1,31135.59,1,1,,10,1,0,0,0,0,0,0,0
9,0,1,1,274.67,1,1,,7,0,0,0,0,0,0,1,0
10,0,2,4,16034303.74,1,1,1,15,1,0,1,0,0,0,0,0
11,0,1,2,247.55,0,1,,6,0,0,0,0,0,0,0,0
12,1,1,1,618.23,0,1,,7,0,0,0,0,0,0,0,0
13,15,34,7,1211876.62,1,1,,14,0,0,1,0,1,1,1,0
14,0,1,1,7100,1,1,,9,1,0,0,0,0,0,0,0
15,0,0,1,25000,1,1,,9,1,0,0,0,0,0,0,0
16,0,0,1,159610,0,1,,10,0,0,0,0,0,0,0,0
17,0,3,2,1209611.53,0,1,,10,0,0,0,0,1,0,0,0
18,0,1,1,19250,1,1,,10,1,0,0,0,0,0,0,0
19,0,1,2,90209.12,1,1,,10,1,0,0,0,0,0,0,0
20,0,0,1,13840.2,0,1,,7,0,0,0,0,0,0,0,0
21,0,0,1,30000,0,1,,7,0,0,0,0,0,0,0,0
22,0,1,1,5000,0,1,,6,0,0,0,0,0,0,0,0
23,0,0,2,788302,1,1,,13,1,0,0,0,0,0,0,0
24,0,1,1,10000,1,1,,8,1,0,0,0,0,0,0,0
25,1,1,2,327000,1,1,,12,1,0,0,0,0,0,0,0
26,1,1,4,1550,1,1,,10,0,0,0,0,0,0,0,0
27,1,1,1,51.47,1,1,,8,1,0,0,0,0,0,0,0
28,1,2,1,6000,0,1,,7,1,0,1,0,0,0,0,0
29,0,0,1,470.72,0,1,,6,0,0,0,0,0,0,0,0
30,1,1,2,575,0,1,,7,0,0,0,0,0,0,0,0
31,3,3,2,5500,0,1,,8,0,0,0,0,0,0,1,0
32,0,1,1,500,1,1,,7,1,0,0,0,0,0,0,0
33,2,3,4,76550,1,1,,10,1,0,0,0,0,0,0,0
34,0,1,1,312971.4,1,1,,12,1,0,0,0,0,0,0,0
35,0,1,1,51500,0,1,2,8,1,0,0,0,0,0,0,0
36,1,1,1,20000,0,1,,8,0,0,0,0,0,0,0,0
37,0,1,1,2343.61,1,1,,7,0,0,0,0,0,0,1,0
38,0,1,1,5000,1,1,,8,1,0,0,0,0,0,0,0
39,0,0,1,150,1,1,,7,1,0,0,0,0,0,0,0
40,0,1,1,12569.38,0,1,,7,0,0,0,0,0,0,0,0
41,0,1,2,28750,1,1,,11,1,0,0,0,0,0,0,0
42,0,0,1,5500,1,1,,8,1,0,0,0,0,0,0,0
43,2,4,1,5500,0,1,,7,0,0,0,0,0,0,0,0
44,0,1,1,9000,1,1,,8,1,0,0,1,0,0,0,0
45,0,1,1,1000,0,1,,6,0,0,0,0,0,0,0,0
46,0,1,1,25944,1,1,,9,1,0,0,0,1,0,0,0
47,0,0,1,118096.79,0,1,,9,1,0,0,0,0,0,0,0
48,0,1,1,9000,1,1,,10,1,0,0,0,0,0,0,0
49,0,0,1,50000,0,1,,7,1,0,0,0,0,0,0,1
50,0,3,1,50000,1,1,,5,1,0,0,0,0,0,0,0
51,5,8,1,5500,0,1,,6,0,0,0,0,0,0,0,0
52,3,8,2,1722375,1,1,,13,0,0,0,0,0,0,0,0
53,0,1,2,4804,1,1,1,12,1,0,0,0,0,0,0,0
54,0,0,1,56581.23,0,1,,8,0,0,0,0,0,0,0,0
55,0,1,1,4000,1,1,,8,1,0,0,0,0,0,0,0
56,0,1,2,32015.78,0,1,,10,0,0,0,0,0,0,0,0
57,1,1,1,270,0,1,,8,0,0,0,0,0,0,0,0
58,1,1,1,9500,1,1,,9,0,0,0,0,0,0,0,0
59,1,6,3,3612139.38,1,1,,15,1,0,0,0,0,0,0,0
60,2,3,3,29000,1,1,3,10,1,0,0,0,0,0,0,0
61,0,1,2,7550,1,1,3,8,1,0,0,0,0,0,0,0
62,0,1,1,950,0,1,,8,0,0,0,0,0,0,0,0
63,0,1,1,2000,1,1,,7,1,0,0,0,0,0,0,0
64,0,2,2,361126.89,1,1,,12,1,0,0,0,0,0,0,0
65,1,4,3,48500,1,1,,9,1,0,0,0,0,0,0,0
66,0,3,1,25000,0,1,,7,0,0,0,0,0,0,0,0
67,0,0,1,42025.88,1,1,,9,1,0,0,0,0,0,0,0
68,0,0,1,31250,1,1,,9,1,0,0,0,0,0,0,0
69,0,0,2,2750,0,1,,6,0,0,0,0,0,0,0,0
70,0,0,1,300,0,1,,6,0,0,0,0,0,0,0,0
71,0,1,1,45195,0,1,,8,0,0,0,0,0,0,0,0
72,0,0,1,153780.9,1,1,,10,1,0,0,0,0,0,0,0
73,0,2,5,945328.75,1,1,,14,0,0,0,0,1,0,0,0
74,0,1,1,64579.55,1,1,,9,0,0,0,0,0,0,0,0
75,4,4,4,310000,0,1,,11,0,0,0,0,0,0,0,0
76,0,3,1,3600,1,1,,8,1,0,0,0,0,0,0,0
77,0,1,2,2015,0,1,,10,0,0,0,0,0,0,0,0
78,1,1,3,1800,1,1,,11,1,0,0,0,0,0,0,0
79,0,1,2,5660,0,1,,8,0,0,0,0,1,0,0,0
80,0,1,2,1100,0,1,,7,0,0,0,0,0,0,0,0
81,0,0,7,209740.52,1,1,,13,0,0,0,0,0,0,1,0
82,1,1,1,143546,1,1,,10,1,0,0,0,0,0,0,0
83,0,1,1,5000,1,1,,7,1,0,0,0,0,0,0,0
84,1,2,1,190,0,1,,7,0,0,0,0,0,0,0,0
85,0,1,1,1078.8,0,1,,6,0,0,0,0,0,0,0,0
86,1,1,2,50,0,1,,7,0,0,0,0,0,0,0,0
87,0,0,1,527.95,0,1,,6,0,0,0,0,0,0,0,0
88,1,1,2,10964,1,1,,9,0,0,0,0,0,0,0,0
89,0,0,1,1850,0,1,,6,0,0,0,0,0,0,0,0
90,0,0,1,6000,0,1,,7,0,0,0,0,0,0,0,0
91,2,8,6,1758166.68,1,1,3,15,1,0,0,0,0,0,0,0
92,0,1,1,2500,1,1,,7,1,0,0,0,0,0,0,0
93,0,1,1,4400,0,1,,6,0,0,0,0,0,0,0,0
94,0,1,3,249043.25,1,1,3,11,1,0,0,0,0,0,0,0
95,0,0,1,500,0,1,,7,0,0,0,0,0,0,0,0
96,0,0,1,6850,1,1,,9,0,0,0,0,0,0,0,0
97,0,2,1,7250,1,1,,8,1,0,0,0,0,0,0,0
98,1,1,1,1240,1,1,,9,1,0,0,0,0,0,0,0
99,0,1,1,1200,1,1,,8,1,0,0,0,0,0,0,0
100,0,1,1,1270,1,1,,7,1,0,0,0,0,0,0,0
101,0,2,4,4670,1,1,1,10,0,0,0,0,0,0,1,0
102,0,2,1,5000,1,1,,7,1,0,0,0,0,0,0,0
103,3,6,1,9000,1,1,,7,1,0,0,0,0,0,0,0
104,1,1,1,15625,0,1,,7,0,0,0,0,0,0,0,0
105,0,3,1,1000,1,1,,7,1,0,0,0,0,0,0,0
106,1,4,3,17843.94,1,1,,10,1,0,0,0,0,0,0,0
107,1,2,1,500,1,1,,7,1,0,0,0,0,0,0,0
108,0,0,1,37250,1,1,,9,1,0,0,0,0,0,0,0
109,1,2,1,207520.41,1,1,,12,1,0,0,0,0,0,0,0
110,0,1,2,2250,1,1,,8,0,0,0,0,0,0,0,0
111,0,0,1,5000,0,1,,7,0,0,0,0,0,0,0,0
112,0,0,1,1107.48,0,1,,6,0,0,0,0,0,0,0,0
113,1,1,4,8001,0,1,,9,0,0,0,0,0,0,0,0
114,0,0,1,1000,1,1,,7,1,0,0,0,0,0,0,0
115,1,3,1,1500,1,1,,7,1,0,0,0,0,0,0,0
116,0,1,1,9852.3,1,1,,8,0,0,0,0,0,0,0,0
117,0,1,1,100,0,1,,7,0,0,0,0,0,0,0,0
118,0,2,1,7342,1,1,,11,0,0,0,0,1,0,1,1
119,0,1,1,2750,1,1,,7,0,0,0,0,0,0,1,0
120,0,4,3,50322,1,1,,10,1,0,0,0,0,0,0,0
121,0,3,2,1495,1,1,,9,0,0,0,0,0,0,1,0
122,0,0,1,200,1,1,,7,1,0,0,0,0,0,0,0
123,0,0,1,979017.63,1,1,,11,1,0,0,0,0,0,0,0
124,0,1,1,200,1,1,,8,0,0,0,0,0,0,0,0
125,0,1,1,38100,1,1,,9,1,0,0,0,0,0,0,0
126,1,3,4,60730,0,1,,10,0,0,0,0,0,0,0,0
127,0,1,1,2000,1,1,,7,1,0,0,0,0,0,0,0
128,0,0,1,3070.85,1,1,,8,1,0,0,0,0,0,0,0
129,0,0,1,50000,1,1,,8,1,0,0,0,0,0,0,0
130,0,1,1,10419.93,0,1,,8,0,0,0,0,0,0,0,0
131,21,38,3,118327,1,1,,13,0,0,0,0,0,0,0,0
132,2,4,5,79283,1,1,,10,0,0,0,0,0,0,1,0
133,0,0,1,800,1,1,,7,0,0,0,0,0,0,0,0
134,0,1,1,4250,0,1,,8,0,0,0,0,0,0,0,0
135,0,1,3,10827.69,1,1,,9,1,0,0,0,1,0,1,0
136,0,1,1,1696.16,0,1,,7,0,0,0,0,0,0,0,0
