ID,Target,Age,RFM,LifetimeDonation,Degrees,YearsSinceGrad,Male,Alum,InclinationScore,EventsAttended
1,1,57,15,113826.94,3,0,0,1,4,73
2,0,33,0,0,3,3,1,1,4,30
3,1,42,0,0,2,0,1,1,4,28
4,0,39,11,1240,3,2,0,1,4,24
5,1,31,0,0,2,0,1,1,4,21
6,0,39,0,0,2,2,0,1,4,17
7,1,83,15,26757,2,0,1,1,4,17
8,1,26,0,0,2,1,1,1,4,16
9,1,78,15,49449,1,3,0,0,4,13
10,0,33,0,125,2,2,0,1,4,13
11,0,47,0,0,3,2,0,1,4,13
12,1,30,0,20,2,1,0,1,4,13
13,0,25,0,0,2,3,1,1,4,12
14,1,80,15,6151105,4,0,1,1,4,12
15,0,50,0,425,2,3,1,1,4,11
16,1,37,7,90,2,1,0,1,4,11
17,1,26,0,0,1,0,1,1,4,11
18,1,33,0,20,2,3,0,1,4,10
19,1,29,0,0,2,0,0,1,4,10
20,0,30,0,0,2,3,1,1,4,9
21,0,26,0,0,2,3,0,1,4,9
22,0,32,0,60,3,2,0,1,4,9
23,0,28,0,0,2,2,1,1,4,9
24,0,25,0,0,1,2,1,1,4,9
25,1,33,9,350,2,1,0,1,4,9
26,1,40,0,30,3,1,0,1,4,9
27,0,31,0,0,3,3,1,1,4,8
28,0,64,0,0,2,3,0,1,4,8
29,0,44,3,75,2,3,0,1,4,8
30,0,27,0,0,2,2,0,1,4,8
31,0,32,0,0,3,2,1,1,4,8
32,1,32,0,0,2,1,1,1,4,8
33,1,24,13,86324.898,1,1,1,0,4,8
34,0,28,0,0,3,3,1,1,4,7
35,0,53,0,100,2,3,1,1,4,7
36,0,76,0,0,2,2,1,1,4,7
37,0,27,0,0,2,2,0,1,4,7
38,0,29,0,0,2,2,1,1,4,7
39,1,26,0,0,2,1,0,1,4,7
40,1,54,0,0,3,1,0,1,4,7
41,1,28,0,0,1,0,1,1,4,7
42,0,24,0,0,2,3,0,1,4,6
43,0,31,0,0,2,3,0,1,4,6
44,0,29,0,0,2,3,1,1,4,6
45,0,27,0,0,2,3,0,1,4,6
46,0,27,3,0,2,3,0,1,4,6
47,0,27,0,0,2,3,0,1,4,6
48,0,27,0,0,2,3,0,1,4,6
49,0,33,0,0,2,2,1,1,4,6
50,0,32,0,0,3,2,1,1,4,6
51,0,30,0,0,1,2,1,1,4,6
52,0,27,0,0,2,2,1,1,4,6
53,0,64,11,430,3,2,0,1,4,6
54,0,32,0,100,2,2,1,1,4,6
55,0,31,0,0,2,2,0,1,4,6
56,1,38,0,0,2,1,1,1,4,6
57,1,45,0,0,2,1,0,1,4,6
58,1,30,0,85,2,1,1,1,4,6
59,1,28,0,0,2,0,0,1,4,6
60,1,24,0,0,1,2,1,1,2,6
61,0,23,0,0,1,2,0,1,1,6
62,0,24,9,700,1,3,1,1,4,5
63,0,30,0,0,2,3,0,1,4,5
64,0,35,0,0,3,3,0,1,4,5
65,0,26,0,0,2,3,0,1,4,5
66,0,27,0,0,2,3,1,1,4,5
67,0,46,0,0,2,3,0,1,4,5
68,0,29,0,0,3,3,0,1,4,5
69,1,29,0,80,2,2,0,1,4,5
70,0,30,0,0,2,2,0,1,4,5
71,0,57,0,0,3,2,0,1,4,5
72,0,24,0,875,1,2,0,1,4,5
73,0,34,0,0,2,2,0,1,4,5
74,0,29,0,0,2,2,0,1,4,5
75,0,51,2,50,3,2,0,1,4,5
76,0,32,0,0,2,2,1,1,4,5
77,0,24,0,0,1,2,1,1,4,5
78,0,53,12,5900,2,2,1,1,4,5
79,0,26,0,0,2,2,1,1,4,5
80,0,29,0,0,2,2,0,1,4,5
81,0,55,0,0,2,2,0,1,4,5
82,0,36,0,0,2,2,0,1,4,5
83,0,36,0,0,2,2,0,1,4,5
84,0,29,9,750,1,2,0,1,4,5
85,0,28,0,0,2,2,0,1,4,5
86,0,29,8,350,3,2,0,1,4,5
87,0,26,0,0,2,2,1,1,4,5
88,0,38,0,0,3,2,0,1,4,5
89,1,29,0,0,2,1,0,1,4,5
90,1,34,0,0,2,1,1,1,4,5
91,1,30,0,0,2,1,1,1,4,5
92,1,32,0,0,2,0,1,1,4,5
93,1,27,0,0,1,0,0,1,4,5
94,1,25,0,0,1,0,0,1,4,5
95,0,26,0,0,2,3,1,1,3,5
96,0,23,0,0,1,3,0,1,3,5
97,0,23,0,0,2,2,1,1,3,5
98,1,29,0,0,2,3,1,1,4,4
99,1,32,0,0,3,3,1,1,4,4
100,0,24,7,9,2,3,1,1,4,4
101,0,31,0,0,2,3,1,1,4,4
102,0,26,0,0,2,3,0,1,4,4
103,0,32,0,0,3,3,1,1,4,4
104,0,54,0,0,3,3,0,1,4,4
105,0,50,0,700,2,3,0,1,4,4
106,0,40,0,0,4,3,0,1,4,4
107,0,25,0,0,2,3,1,1,4,4
108,0,48,12,1400,1,3,0,1,4,4
109,0,60,0,0,3,3,1,1,4,4
110,0,27,0,0,2,3,1,1,4,4
111,0,23,8,75.160004,1,3,0,1,4,4
112,0,23,10,2770,1,3,1,1,4,4
113,1,57,0,0,2,2,0,1,4,4
114,1,30,0,219.7,4,2,1,1,4,4
115,0,32,0,0,2,2,0,1,4,4
116,0,23,9,3420,1,2,0,0,4,4
117,0,31,0,320,2,2,0,1,4,4
118,0,29,0,0,2,2,1,1,4,4
119,0,40,0,0,2,2,0,1,4,4
120,0,40,8,100,3,2,1,1,4,4
121,0,27,0,0,2,2,0,1,4,4
122,0,27,0,0,2,2,0,1,4,4
123,0,28,9,750,1,2,0,1,4,4
124,0,23,0,50,1,2,0,1,4,4
125,0,28,0,0,2,2,1,1,4,4
126,0,24,8,55.16,1,2,1,1,4,4
127,0,33,0,0,2,2,1,1,4,4
128,0,24,7,10,1,2,0,1,4,4
129,0,24,0,0,2,2,1,1,4,4
130,0,33,0,0,2,2,0,1,4,4
131,0,26,0,0,2,2,1,1,4,4
132,0,26,0,0,2,2,0,1,4,4
133,0,26,0,0,2,2,1,1,4,4
134,0,28,0,1000,3,2,0,1,4,4
135,0,26,0,0,2,2,0,1,4,4
136,0,23,0,427.5,1,2,1,1,4,4
137,0,27,0,0,2,2,1,1,4,4
138,0,33,0,20,2,2,0,1,4,4
139,0,29,7,50,2,2,1,1,4,4
140,0,55,0,50,2,2,0,1,4,4
141,0,27,0,0,2,2,0,1,4,4
142,0,28,0,0,2,2,0,1,4,4
143,0,32,0,0,1,2,1,1,4,4
144,0,51,0,0,3,2,0,1,4,4
145,0,30,0,0,2,2,1,1,4,4
146,0,51,0,0,2,2,0,1,4,4
147,0,40,0,0,2,2,0,1,4,4
148,0,27,8,350,2,2,0,1,4,4
149,0,74,0,200000,2,2,1,1,4,4
150,0,35,0,0,3,2,0,1,4,4
151,0,28,0,0,2,2,1,1,4,4
152,0,28,0,0,2,2,1,1,4,4
153,0,30,0,0,2,2,0,1,4,4
154,0,23,8,10,1,2,0,1,4,4
155,0,25,0,0,1,2,1,1,4,4
156,1,33,0,0,3,1,0,1,4,4
157,1,38,8,500,4,1,0,1,4,4
158,1,26,0,0,1,1,1,1,4,4
159,1,33,0,0,2,1,0,1,4,4
160,1,25,0,1000,1,1,0,1,4,4
161,1,29,0,30,2,1,1,1,4,4
162,1,34,0,0,2,0,0,1,4,4
163,1,36,0,500,3,0,1,1,4,4
164,1,43,0,0,3,0,0,1,4,4
165,1,38,0,0,2,0,1,1,4,4
166,1,50,0,45,2,0,1,1,4,4
167,0,25,0,0,1,3,1,1,3,4
168,0,30,0,0,2,3,0,1,3,4
169,0,34,0,0,2,3,0,1,3,4
170,0,22,0,0,1,3,0,1,3,4
171,0,24,0,0,2,3,1,1,3,4
172,0,29,0,0,2,2,0,1,3,4
173,0,22,0,0,1,2,1,1,3,4
174,0,24,0,0,1,2,0,1,3,4
175,0,26,2,0,1,2,1,1,3,4
176,0,25,0,0,1,2,1,1,3,4
177,1,28,0,0,1,0,1,1,3,4
178,0,30,0,0,2,3,1,1,2,4
179,0,25,0,0,2,2,0,1,2,4
180,0,25,0,0,2,2,0,1,2,4
181,0,24,0,0,1,2,0,1,2,4
182,0,29,0,0,2,2,0,1,2,4
183,0,24,0,0,1,2,0,1,1,4
184,0,23,0,0,1,2,0,1,1,4
185,1,29,0,600,2,3,1,1,4,3
186,0,22,0,0,1,3,1,1,4,3
187,0,24,0,0,2,3,1,1,4,3
188,0,29,0,0,2,3,0,1,4,3
189,0,28,0,0,2,3,1,1,4,3
190,0,53,10,800,2,3,1,1,4,3
191,0,37,0,0,2,3,0,1,4,3
192,0,28,0,0,2,3,0,1,4,3
193,0,30,0,0,2,3,1,1,4,3
194,0,32,0,0,2,3,0,1,4,3
195,0,22,0,711,1,3,1,1,4,3
196,0,32,0,0,2,3,1,1,4,3
197,0,23,7,10,1,3,0,1,4,3
198,0,26,0,0,2,3,1,1,4,3
199,0,46,0,0,2,3,0,1,4,3
200,0,29,0,0,3,3,0,1,4,3
201,0,25,0,0,2,3,0,1,4,3
202,0,28,0,0,2,3,0,1,4,3
203,0,23,8,700,1,3,0,1,4,3
204,0,23,0,0,2,3,0,1,4,3
205,0,27,0,0,2,3,1,1,4,3
206,0,23,0,0,1,3,0,1,4,3
207,0,28,0,0,2,3,1,1,4,3
208,0,30,0,0,3,3,0,1,4,3
209,0,27,0,0,2,3,1,1,4,3
210,0,24,0,0,2,3,0,1,4,3
211,0,41,9,310,4,3,1,1,4,3
